id_commune,nom_commune,arrondissement,adm2_pcode,score_acp_dim1_oriente,IIFT,classe_IIFT,IIFT_multi_axes_robustesse
C-050,Fort-Liberté,Fort-Liberté,HT0411,2.8019436627606202,47.74242748783942,Très élevé,54.363351616196425
C-051,Ferrier,Fort-Liberté,HT0412,-0.5871121600367035,23.279216189645396,Moyen,34.76199835413287
C-052,Perches,Fort-Liberté,HT0413,0.07345861820787357,28.04741222138599,Élevé,42.82926131428584
C-053,Ouanaminthe,Ouanaminthe,HT0421,3.346316518715791,51.67187241189521,Très élevé,57.4941765210105
C-054,Capotille,Ouanaminthe,HT0422,-3.477910373961113,2.4125762682929164,Très faible,4.818680932327066
C-055,Mont-Organisé,Ouanaminthe,HT0423,-1.9877964886603907,13.168660776926405,Faible,14.079331794621579
C-056,Trou-du-Nord,Trou-du-Nord,HT0431,2.266099630731968,43.87454614749211,Très élevé,51.4806330477427
C-057,Sainte-Suzanne,Trou-du-Nord,HT0432,-3.219491072809078,4.277923520789891,Très faible,8.307375321306282
C-058,Terrier-Rouge,Trou-du-Nord,HT0433,0.43580249245280783,30.66291790253575,Élevé,36.46898965020496
C-059,Caracol,Trou-du-Nord,HT0434,0.11918912074790809,28.37750856824583,Élevé,35.98661209487679
C-060,Vallières,Vallières,HT0441,-3.253305213557368,4.033843011868232,Très faible,5.985472822813929
C-061,Carice,Vallières,HT0442,-1.352750944755307,17.75260808756817,Faible,26.570783698530253
C-062,Mombin-Crochu,Vallières,HT0443,-2.7211589399929057,7.875032833583514,Très faible,6.951284513043088
C-063,Gonaïves,Gonaïves,HT0511,7.440712638176983,81.226439419945,Très élevé,76.54118671965135
C-064,Ennery,Gonaïves,HT0512,-2.455497462786787,9.79265626337979,Faible,5.999914957894724
C-065,Estère,Gonaïves,HT0513,0.9173487089817073,34.138861487043904,Élevé,40.10032170916465
C-066,Gros-Morne,Gros-Morne,HT0521,-0.08037167026419449,26.937019519784453,Élevé,20.624054802736666
C-067,Terre-Neuve,Gros-Morne,HT0522,-3.0603443342431462,5.42669193787172,Très faible,6.679683503674433
C-068,Anse-Rouge,Gros-Morne,HT0523,-0.6895110436988673,22.54007064035224,Moyen,21.20873675475403
C-069,Saint-Marc,Saint-Marc,HT0531,6.727621854220758,76.0791383913307,Très élevé,69.18991523578282
C-070,Verrettes,Saint-Marc,HT0532,1.6819376236114063,39.657891315063864,Très élevé,41.590851024003875
C-071,La Chapelle,Saint-Marc,HT0533,-2.605191585858835,8.71211963185663,Très faible,8.520520097848735
C-072,Dessalines,Dessalines,HT0541,-0.7888237652253125,21.823201925780634,Moyen,12.952038665473628
