id_commune,nom_commune,arrondissement,zone_wbg,urbain_rural,strate,brh_maison_de_transfert,brh_agent_non_bancaire,brh_banque,brh_atm,brh_microfinance,brh_caisse_populaire,brh_total_effectif,population_totale,population_urbaine,pop_masculine,pop_masculine_urbaine,pop_feminine,pop_feminine_urbaine,pop_masculine_18_plus,pop_masculine_18_plus_urbaine,pop_feminine_18_plus,pop_feminine_18_plus_urbaine,nb_menages,nb_menages_urbains,superficie_km2,superficie_urbaine_km2,taux_compte_formel,taux_compte_mobile,taux_utilisation_OTA,score_connaissance_fka,taux_connaissance_banque,taux_satisfaction_banque,taux_epargne_formelle,taux_endettement_formel,taux_telephone_mobile,taux_internet,acces_routier,classe_urbanisation,classe_densite_demographique,classe_densite_bancaire,classe_diversite_services,taux_pauvrete_proxy,indice_privation_spatiale,classe_privation_spatiale,departement,classe_taille_population,classe_pauvrete,a_une_banque,profil_services_financiers,classe_taille_menage,part_urbaine,densite_hab_km2,densite_bancaire_10k,nb_types_services,taille_moyenne_menage
C-086,Belladère,Lascahobas,Non-connectée (H-Ile),Rural,Rurale-Non-connectée (H-Ile),3,1,0,0,1,0,5,98916,35827,50514,17816,48402,18011,29178,10008,27207,9862,21062,7410,296.65,3.22,19.61,9.24,59.13,3.29,76.46,75.35,3.39,3.02,67.53,10.25,Proche,Mi-urbaine,Moyenne,Faible,Moyenne,65.6,0.744,Élevée,Centre,Grande,Élevée,Non,Microfinance sans banque,Moyenne,0.36219620688260745,333.44345187931907,0.5054793966597921,3,4.696420093058589
C-087,Savanette,Lascahobas,Non-connectée (H-Ile),Rural,Rurale-Non-connectée (H-Ile),1,3,0,0,0,1,5,41346,11613,20884,5660,20462,5953,12648,3001,12210,3234,9482,2633,174.83,1.13,22.94,11.7,90.67,4.02,100.0,79.54,3.44,2.51,64.35,13.35,Moyen,Rurale,Faible,Faible,Moyenne,74.7,0.937,Élevée,Centre,Moyenne,Élevée,Non,Caisse populaire uniquement,Petite,0.2808736032506167,236.49259280443857,1.2093068253277222,3,4.360472474161569
C-088,Cerca-la-Source,Cerca-la-Source,Non-connectée (H-Ile),Rural,Rurale-Non-connectée (H-Ile),0,10,0,0,0,0,10,64567,18472,32667,9206,31900,9266,17409,4865,17030,5064,12702,3731,345.0,1.25,14.87,13.98,56.71,2.91,88.01,75.14,3.63,2.39,52.04,10.12,Éloigné,Rurale,Faible,Faible,Faible,50.7,0.392,Faible,Centre,Grande,Faible,Non,Aucune institution formelle,Grande,0.2860904177056391,187.15072463768115,1.5487787879257207,1,5.083215241694221
C-089,Thomassique,Cerca-la-Source,Non-connectée (H-Ile),Rural,Rurale-Non-connectée (H-Ile),3,9,0,0,1,0,13,72214,30304,36211,15144,36003,15160,18946,7946,19147,8228,14428,6088,262.01,1.86,25.49,9.62,69.43,3.51,82.47,70.93,3.19,2.33,62.88,13.33,Proche,Mi-urbaine,Moyenne,Moyenne,Moyenne,71.6,0.782,Élevée,Centre,Grande,Élevée,Non,Microfinance sans banque,Grande,0.419641620738361,275.6154345253998,1.8002049464092835,3,5.005128915996673
C-090,Les Cayes,Les Cayes,Connectée (RN),Urbain,Urbaine-Connectée (RN),43,98,5,3,6,7,162,187242,153560,90108,72679,97134,80881,58795,47450,64215,53875,38738,31647,219.11,11.51,9.9,2.89,53.47,4.12,91.61,64.4,14.75,12.07,100.0,51.31,Proche,Urbaine,Élevée,Élevée,Élevée,57.3,0.548,Moyenne,Sud,Grande,Moyenne,Oui,Pôle financier complet,Moyenne,0.820115145106333,854.5570717904249,8.651905021309322,6,4.833548453714699
C-091,Torbeck,Les Cayes,Non-connectée (H-Ile),Rural,Rurale-Non-connectée (H-Ile),1,11,0,0,0,0,12,93788,18411,48320,9289,45468,9122,30114,5804,28431,5625,18903,3632,189.48,3.81,28.07,11.11,77.1,3.34,100.0,75.18,2.89,2.85,66.0,9.48,Proche,Rurale,Élevée,Faible,Moyenne,78.3,0.994,Élevée,Sud,Grande,Élevée,Non,Aucune institution formelle,Grande,0.19630443127052502,494.97572303145455,1.2794813835458694,2,4.961540496217531
C-092,Chantal,Les Cayes,Non-connectée (H-Ile),Rural,Rurale-Non-connectée (H-Ile),1,1,0,0,0,0,2,42059,13626,21708,6831,20351,6795,13236,4073,12625,4338,8764,2904,160.36,2.89,28.26,10.57,76.06,4.99,100.0,77.63,2.22,2.16,68.92,11.96,Éloigné,Mi-urbaine,Faible,Faible,Moyenne,63.2,0.626,Moyenne,Sud,Moyenne,Moyenne,Non,Aucune institution formelle,Moyenne,0.32397346584559783,262.2786230980294,0.4755224803252574,2,4.799064354176175
C-093,Camp-Perrin,Les Cayes,Non-connectée (H-Ile),Rural,Rurale-Non-connectée (H-Ile),2,17,0,0,1,3,23,55523,15997,28669,7967,26854,8030,18335,5085,16884,5169,11440,3420,133.77,2.74,22.29,12.24,64.43,3.33,89.44,84.47,3.6,2.97,71.48,12.29,Proche,Rurale,Élevée,Élevée,Élevée,45.7,0.223,Faible,Sud,Moyenne,Faible,Non,Microfinance sans banque,Grande,0.288114835293482,415.0631681243926,4.142427462493021,4,4.853409090909091
C-094,Maniche,Les Cayes,Non-connectée (H-Ile),Rural,Rurale-Non-connectée (H-Ile),1,2,0,0,0,1,4,29493,4001,15471,1982,14022,2019,9265,1196,8873,1301,6614,942,124.81,0.37,25.88,12.58,78.17,3.79,100.0,75.34,2.86,2.44,93.29,15.31,Proche,Rurale,Faible,Faible,Moyenne,48.7,0.159,Faible,Sud,Petite,Faible,Non,Caisse populaire uniquement,Moyenne,0.13565930898857356,236.303180834869,1.3562540263791407,3,4.4591775022679165
C-095,Île-à-Vache,Les Cayes,Non-connectée (H-Ile),Rural,Rurale-Non-connectée (H-Ile),1,2,0,0,0,0,3,18973,6414,10014,3361,8959,3053,5705,1877,5039,1679,3433,1127,45.96,1.3,23.22,12.57,90.09,3.14,94.95,67.0,3.23,3.75,70.09,9.78,Proche,Mi-urbaine,Moyenne,Faible,Moyenne,44.1,0.286,Faible,Sud,Petite,Faible,Non,Aucune institution formelle,Grande,0.338059347493807,412.8154917319408,1.5811943287830075,2,5.526653073113895
